호선명,지하철역,role,lat,lng
1호선,동대문,other,37.57110593971035,127.00976666369658
1호선,동묘앞,other,37.57329730966541,127.01665530024687
1호선,서울역,business,37.55566267132654,126.9723995344906
1호선,시청,business,37.56431993168064,126.97564721525154
1호선,신설동,other,37.57568330311578,127.02449537109462
1호선,제기동,other,37.57837228457723,127.03376046869968
1호선,종각,business,37.57044199061286,126.9833657641669
1호선,종로3가,business,37.571237685905345,126.9921282612262
1호선,종로5가,other,37.570988,127.001921
1호선,청량리(서울시립대입구),other,37.579892576268506,127.04531652547182
2호선,강남,business,37.49736696699724,127.02786315490347
2호선,강변(동서울터미널),residential,37.535098,127.094695
2호선,건대입구,mixed,37.54065910963556,127.0696415597521
2호선,교대(법원.검찰청),business,37.49279345737089,127.01411393329036
2호선,구로디지털단지,mixed,37.48505751518334,126.90149541746271
2호선,구의(광진구청),other,37.537359662532594,127.08651759531142
2호선,낙성대(강감찬),other,37.4711007,126.95999
2호선,당산,residential,37.534152057358625,126.90209054950819
2호선,대림(구로구청),residential,37.49334572870372,126.89575596596285
2호선,도림천,other,37.51447,126.88264
2호선,동대문역사문화공원(DDP),other,37.565682,127.008953
2호선,뚝섬,other,37.547020554263966,127.04807085037945
2호선,문래,other,37.516637,126.891505
2호선,방배,other,37.48155477078008,126.9972400061135
2호선,봉천,residential,37.48283944000596,126.94111397425712
2호선,사당,mixed,37.48438406278047,126.97403280543422
2호선,삼성(무역센터),business,37.50895307023809,127.0632213014762
2호선,상왕십리,other,37.56430005455948,127.02958686524622
2호선,서울대입구(관악구청),residential,37.48126975960335,126.95278529112817
2호선,서초,other,37.49168303406662,127.00777892568289
2호선,선릉,business,37.50464643153688,127.04920627041982
2호선,성수,business,37.54480943658188,127.05533034760549
2호선,시청,business,37.56431993168064,126.97564721525154
2호선,신답,other,37.5698,127.047095
2호선,신당,other,37.565669,127.019452
2호선,신대방,residential,37.487119386747814,126.91332432047685
2호선,신도림,mixed,37.508555315909,126.89122898911323
2호선,신림,mixed,37.484319928878065,126.92975985018225
2호선,신설동,other,37.57568330311578,127.02449537109462
2호선,신정네거리,other,37.52023308228248,126.85268543265587
2호선,신촌,residential,37.559771,126.942367
2호선,아현,other,37.557355921514386,126.95607371399475
2호선,양천구청,other,37.51253877916507,126.86600720876027
2호선,역삼,business,37.500428482420276,127.03590483928247
2호선,영등포구청,other,37.52571822723635,126.89652807009404
2호선,왕십리(성동구청),residential,37.56129280207992,127.03724484828417
2호선,용답,other,37.562178,127.050853
2호선,용두(동대문구청),other,37.574040303674174,127.03830077574668
2호선,을지로3가,business,37.566147936268656,126.99099170395573
2호선,을지로4가,other,37.566457222103665,126.99799738511024
2호선,을지로입구,business,37.566119417495074,126.98260642600862
2호선,이대,other,37.55654771193129,126.94574117548295
2호선,잠실(송파구청),mixed,37.51424340621623,127.10339984743409
2호선,잠실나루,other,37.520867486643745,127.10350964749668
2호선,잠실새내,other,37.511632275938595,127.08620014290108
2호선,종합운동장,other,37.51125023009749,127.07528841397652
2호선,충정로(경기대입구),other,37.55987604952406,126.96342309233982
2호선,한양대,other,37.555770185758924,127.04326353089189
2호선,합정,residential,37.5489925872559,126.91398300105878
2호선,홍대입구,mixed,37.556734666483244,126.92455157301279
3호선,가락시장,other,37.49262375265571,127.11845843437312
3호선,경복궁(정부서울청사),other,37.575965675947124,126.97413365201709
3호선,경찰병원,other,37.49564322077213,127.12412156970288
3호선,고속터미널,mixed,37.50483885125289,127.00386634886466
3호선,교대(법원.검찰청),business,37.49279345737089,127.01411393329036
3호선,구파발,other,37.63702699636522,126.91899211696432
3호선,금호,other,37.548062313967876,127.01586482801342
3호선,남부터미널(예술의전당),other,37.484749622986875,127.01627339714322
3호선,녹번,other,37.60091946507972,126.93576542871705
3호선,대청,other,37.49405159550611,127.0791739283744
3호선,대치,other,37.49396072181887,127.06240348134602
3호선,도곡,other,37.490728411095084,127.05568242908524
3호선,독립문,other,37.574042435212895,126.95815870261268
3호선,동대입구,other,37.55885563564389,127.0053515758039
3호선,매봉,other,37.486814170545266,127.04593830256536
3호선,무악재,other,37.582514506179834,126.95045380750116
3호선,불광,other,37.61117376260042,126.92958881062188
3호선,수서,residential,37.48728809788657,127.10169494325598
3호선,신사,other,37.51651630281475,127.02051749096623
3호선,안국,other,37.57622646659184,126.98515892357797
3호선,압구정,business,37.52645630674276,127.02879828727367
3호선,약수,other,37.55486270741788,127.01091782508675
3호선,양재(서초구청),business,37.484028263242706,127.0346411415171
3호선,연신내,residential,37.61916046901461,126.92086949978284
3호선,오금,other,37.50218689254858,127.12788866659847
3호선,옥수,other,37.5412147984679,127.01783563756655
3호선,을지로3가,business,37.566147936268656,126.99099170395573
3호선,일원,other,37.48415492101992,127.0838412402037
3호선,잠원,other,37.512905604379725,127.01178638399094
3호선,종로3가,business,37.571237685905345,126.9921282612262
3호선,지축,other,37.64811400000001,126.913746
3호선,충무로,business,37.56134894018797,126.99338924584126
3호선,학여울,other,37.49648060445571,127.07085555801159
3호선,홍제,other,37.58899211178838,126.94391952951025
4호선,길음,other,37.60351795671336,127.02511808019659
4호선,남태령,other,37.46466417956047,126.98854297431377
4호선,노원,residential,37.655812595354526,127.06218852394072
4호선,동대문,other,37.57110593971035,127.00976666369658
4호선,동대문역사문화공원(DDP),other,37.565682,127.008953
4호선,동작(현충원),other,37.5033968337691,126.97630894150379
4호선,명동,other,37.5609892,126.9861868
4호선,미아(서울사이버대학),other,37.62737617229928,127.02597077208515
4호선,미아사거리,residential,37.61399749665199,127.03024655194893
4호선,불암산,other,37.67026,127.079011
4호선,사당,mixed,37.48438406278047,126.97403280543422
4호선,삼각지(전쟁기념관),other,37.5369869,126.9771015
4호선,상계,other,37.67299089999999,127.0703498
4호선,서울역,business,37.55566267132654,126.9723995344906
4호선,성신여대입구(돈암),other,37.592481949520426,127.01655028030102
4호선,수유(강북구청),residential,37.63823406870083,127.02611923318311
4호선,숙대입구(갈월),other,37.545264225612115,126.97176135641871
4호선,신용산,other,37.52959680687353,126.96827687497643
4호선,쌍문,residential,37.648604930017555,127.03491226633054
4호선,이촌(국립중앙박물관),other,37.52243958997263,126.97444671029878
4호선,창동,residential,37.65327765604755,127.0480416391113
4호선,총신대입구(이수),other,37.48802796854292,126.982281895071
4호선,충무로,business,37.56134894018797,126.99338924584126
4호선,한성대입구(삼선교),other,37.58838136317347,127.00587126849757
4호선,혜화,other,37.58157333415387,127.00200419541304
4호선,회현(남대문시장),other,37.55890427386682,126.97907355303846
5호선,강동,other,37.53609727695621,127.13234865633973
5호선,강일,other,37.557375288933265,127.17558155190386
5호선,개롱,other,37.498076391582494,127.13443907118028
5호선,개화산,other,37.5721192384128,126.80632824857562
5호선,거여,other,37.49333445162444,127.14418749865008
5호선,고덕,other,37.554984356823084,127.1538171871996
5호선,공덕,business,37.54389405950075,126.95146102612989
5호선,광나루(장신대),other,37.545161513115765,127.1040171719911
5호선,광화문(세종문화회관),business,37.5696765,126.976177
5호선,군자(능동),other,37.556934474091946,127.07976872745276
5호선,굽은다리(강동구민회관앞),other,37.545800531295995,127.14283743789058
5호선,길동,other,37.53782062327283,127.13978304015922
5호선,김포공항,other,37.56202114212759,126.802569596774
5호선,까치산,residential,37.53178100495218,126.84655294257189
5호선,답십리,other,37.567096266986724,127.05243189713227
5호선,동대문역사문화공원(DDP),other,37.565682,127.008953
5호선,둔촌동,other,37.527920277421906,127.13596286453593
5호선,마곡,other,37.55986582469384,126.82620310783905
5호선,마장,other,37.566127,127.042965
5호선,마천,other,37.495027,127.152806
5호선,마포,other,37.53982628952342,126.94579330703158
5호선,명일,other,37.55130403047023,127.14416312041527
5호선,목동,other,37.525863779120336,126.86490383032003
5호선,미사,other,37.563118,127.192932
5호선,발산,other,37.55836989351303,126.83820629379368
5호선,방이,other,37.508737243471835,127.12610791321646
5호선,방화,other,37.57709451960146,126.8130259710605
5호선,상일동,other,37.556847044556825,127.16700709706176
5호선,서대문,other,37.565855818297905,126.96694767195989
5호선,송정,other,37.56127649339362,126.81171546452973
5호선,신금호,other,37.5548075411513,127.0201658559206
5호선,신길,other,37.517346,126.9164095
5호선,신정(은행정),other,37.524987,126.856181
5호선,아차산(어린이대공원후문),other,37.55180047085091,127.08944554425713
5호선,애오개,other,37.55341150502426,126.95665163162123
5호선,양평,other,37.525606,126.886191
5호선,여의나루,other,37.526661358992385,126.93268675142608
5호선,여의도,business,37.5216215809446,126.92370972949809
5호선,영등포구청,other,37.52571822723635,126.89652807009404
5호선,영등포시장,other,37.522751329407896,126.90536292581659
5호선,오금,other,37.50218689254858,127.12788866659847
5호선,오목교(목동운동장앞),other,37.52513219151189,126.87488844440644
5호선,올림픽공원(한국체대),other,37.5161821655637,127.13105950744885
5호선,왕십리(성동구청),residential,37.56129280207992,127.03724484828417
5호선,우장산,other,37.54882403924785,126.8365222103371
5호선,을지로4가,other,37.566457222103665,126.99799738511024
5호선,장한평,other,37.56152412275688,127.06437208568727
5호선,종로3가,business,37.571237685905345,126.9921282612262
5호선,천호(풍납토성),residential,37.53811502961933,127.12448671755027
5호선,청구,other,37.56024933622041,127.01383762318397
5호선,충정로(경기대입구),other,37.55987604952406,126.96342309233982
5호선,하남검단산,other,37.539827,127.2231
5호선,하남시청(덕풍?신장),other,37.5419669,127.2062976
5호선,하남풍산,other,37.550263,126.9970831
5호선,행당,other,37.557138333540436,127.0292600230087
5호선,화곡,residential,37.54194609878696,126.84057815452091
6호선,고려대(종암),other,37.589993798777925,127.03629533116906
6호선,공덕,business,37.54389405950075,126.95146102612989
6호선,광흥창(서강),other,37.54772792950233,126.93121362562049
6호선,구산,other,37.611632093566115,126.91706864190141
6호선,녹사평(용산구청),other,37.53489214268974,126.98664574454246
6호선,대흥(서강대앞),other,37.547674,126.942332
6호선,독바위,other,37.61845276897667,126.93296148008154
6호선,돌곶이,other,37.61103252710182,127.05700903613837
6호선,동묘앞,other,37.57329730966541,127.01665530024687
6호선,디지털미디어시티,business,37.57731700271372,126.89901731756916
6호선,마포구청,other,37.56427312053514,126.9025530496816
6호선,망원,other,37.55585910263315,126.91008718789283
6호선,버티고개,other,37.548193242270244,127.00738870965667
6호선,보문,other,37.58510930994358,127.01931231375174
6호선,봉화산(서울의료원),other,37.61723424087117,127.09154608593866
6호선,불광,other,37.61117376260042,126.92958881062188
6호선,삼각지(전쟁기념관),other,37.5369869,126.9771015
6호선,상수,other,37.54765436698118,126.92325187272023
6호선,상월곡(한국과학기술연구원),other,37.6058716207125,127.04781012738063
6호선,새절(신사),other,37.59151721910183,126.91391731295879
6호선,석계,other,37.61492456101739,127.06594267971394
6호선,신내,other,37.61304690483601,127.1034525574782
6호선,신당,other,37.565669,127.019452
6호선,안암(고대병원앞),other,37.58645190525066,127.02870932118485
6호선,약수,other,37.55486270741788,127.01091782508675
6호선,역촌,other,37.60588462747197,126.923048451063
6호선,연신내,residential,37.61916046901461,126.92086949978284
6호선,월곡(동덕여대),other,37.602205200978524,127.04158382144861
6호선,월드컵경기장(성산),other,37.56996754294129,126.89893194188045
6호선,응암,other,37.59896321504193,126.91592500447203
6호선,이태원,other,37.53460961173082,126.9940830495346
6호선,증산(명지대앞),other,37.58352926196434,126.90949508586425
6호선,창신,other,37.57306100892004,127.0168106142304
6호선,청구,other,37.56024933622041,127.01383762318397
6호선,태릉입구,other,37.617929168793715,127.07512966971228
6호선,한강진,other,37.54028507253922,127.00197865237232
6호선,합정,residential,37.5489925872559,126.91398300105878
6호선,화랑대(서울여대입구),other,37.62005980271722,127.08398481310152
6호선,효창공원앞,other,37.53867222482999,126.96287530604673
7호선,가산디지털단지,business,37.481130156879466,126.88233218774405
7호선,강남구청,other,37.51721695632317,127.04126963827999
7호선,건대입구,mixed,37.54065910963556,127.0696415597521
7호선,고속터미널,mixed,37.50483885125289,127.00386634886466
7호선,공릉(서울과학기술대),other,37.62557469923346,127.07329283381253
7호선,광명사거리,residential,37.4793066,126.8546747
7호선,군자(능동),other,37.556934474091946,127.07976872745276
7호선,까치울,other,37.5062327,126.8113591
7호선,남구로,other,37.486087,126.887272
7호선,남성,other,37.48473947477951,126.97145089485716
7호선,내방,other,37.48750721566179,126.99321371275778
7호선,노원,residential,37.655812595354526,127.06218852394072
7호선,논현,other,37.51133061451594,127.02163708917021
7호선,대림(구로구청),residential,37.49334572870372,126.89575596596285
7호선,도봉산,other,37.68929924117382,127.04623767796916
7호선,마들,other,37.6648030404302,127.05788631709227
7호선,먹골,other,37.61098277468011,127.07789443323499
7호선,면목,other,37.58847546853265,127.0873440951114
7호선,반포,other,37.50831097824673,127.01196102152761
7호선,보라매,other,37.5000847411346,126.92002830294443
7호선,사가정,other,37.580575730241755,127.0882701339492
7호선,상도,other,37.50315902197367,126.94817010008148
7호선,상봉,other,37.5964077,127.0858246
7호선,수락산,other,37.67892116943489,127.05556486620107
7호선,숭실대입구(살피재),other,37.495908846279264,126.95398172936834
7호선,신대방삼거리,other,37.49960253231366,126.9280217937874
7호선,신풍,other,37.50022128400627,126.90928106733418
7호선,어린이대공원(세종대),other,37.5481851613616,127.07478779079727
7호선,온수(성공회대입구),other,37.49234545420575,126.82411494710904
7호선,용마산(용마폭포공원),other,37.5728192,127.0911912
7호선,이수,other,37.48497984927143,126.98107542952125
7호선,자양(뚝섬한강공원),other,37.531544,127.066708
7호선,장승배기,other,37.50457094121145,126.9388548744508
7호선,장암,other,37.700145,127.0531804
7호선,중계,other,37.645365906314794,127.06374439445429
7호선,중곡,other,37.566106449121094,127.08472991711405
7호선,중화,other,37.60230158736344,127.07917976297286
7호선,천왕,other,37.486712180979524,126.83879895539022
7호선,철산,residential,37.570176,126.983197
7호선,청담,other,37.5190237920898,127.05127771830456
7호선,태릉입구,other,37.617929168793715,127.07512966971228
7호선,하계,other,37.63724675860568,127.06772623854414
7호선,학동,business,37.51389301558195,127.03112538605993
8호선,가락시장,other,37.49262375265571,127.11845843437312
8호선,강동구청,other,37.53032246263641,127.12023524093304
8호선,남위례,other,37.462856,127.139064
8호선,남한산성입구(성남법원.검찰청),other,37.451548,127.159837
8호선,단대오거리,other,37.44504999999999,127.156709
8호선,모란,other,37.432124,127.129064
8호선,몽촌토성(평화의문),other,37.5176243275448,127.11218692416507
8호선,문정,other,37.48625939608584,127.12268435465137
8호선,복정,other,37.470375,127.126685
8호선,산성,other,37.457001,127.150027
8호선,석촌,other,37.505248586373185,127.10715206438636
8호선,송파,other,37.499504154508294,127.11274757857919
8호선,수진,other,37.4376051,127.1409692
8호선,신흥,other,37.440956,127.147509
8호선,암사,other,37.55012621439297,127.12735700818776
8호선,암사역사공원,other,37.5571422,127.1373175
8호선,잠실(송파구청),mixed,37.51424340621623,127.10339984743409
8호선,장지,other,37.478660442676436,127.12614141888304
8호선,천호(풍납토성),residential,37.53811502961933,127.12448671755027
9호선,가양,other,37.561059211764416,126.8551392041148
9호선,개화,other,37.57853611422455,126.7980002435432
9호선,고속터미널,mixed,37.50483885125289,127.00386634886466
9호선,공항시장,other,37.56598036254146,126.82606972766806
